         2100186 function calls (2097893 primitive calls) in 1.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       12    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       14    0.000    0.000    0.000    0.000 core.py:8154(getdoc)
       70    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       11    0.000    0.000    0.000    0.000 abc.py:110(register)
      528    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       49    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
      150    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       75    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
       14    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
    40/28    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
    22/12    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
      353    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        5    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       50    0.000    0.000    0.000    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
      229    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      170    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
      343    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       54    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      308    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 re.py:203(sub)
      114    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      304    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1307(__init__)
      124    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6520(refer_to_array_attribute)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       86    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
      171    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       30    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        3    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
      110    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      436    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      372    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      385    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      399    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        3    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       90    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       24    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       43    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fc5d09f0af0}
      892    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       54    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:57(_Flavour)
       67    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       77    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 numerictypes.py:588(_register_types)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
       11    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        4    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       50    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 linalg.py:74(_determine_error_states)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
       81    0.000    0.000    0.000    0.000 overrides.py:121(decorator)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       60    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:513(_scalar_type_key)
       30    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
